,ChinaGold,COMEXGold,Brent
0,5.64546879633945,4.928596008258776,3.4526226734348553
1,5.592509426767784,4.918272539573296,3.3739424703891707
2,5.562852179807654,4.8313833448038555,3.6472081218274104
3,5.584035927636319,4.8442876806607025,3.7478849407783414
4,5.584035927636319,4.870956641431521,3.730118443316412
5,5.6624157946023805,4.870096352374398,3.7504230118443305
6,5.677244418082448,4.952684101858225,3.7851099830795265
7,5.338304452823794,5.04043358568479,3.7131979695431463
8,5.338304452823794,5.043014452856159,3.6683587140439924
9,5.338304452823794,5.072264280798349,3.5829103214890017
10,5.338304452823794,4.950963523743978,3.6159052453468696
11,5.338304452823794,4.9337577426015145,3.596446700507614
12,5.338304452823794,4.907088781830696,3.5947546531302876
13,5.338304452823794,4.941500344115623,3.5532994923857864
14,5.338304452823794,4.912250516173433,3.6683587140439924
15,5.338304452823794,4.938919476944253,3.800338409475464
16,5.3255942041265945,4.907088781830696,3.7360406091370555
17,5.255687836291998,4.88386097728837,3.9314720812182733
18,5.289581832817864,4.839986235375086,3.9500846023688654
19,5.289581832817864,4.804714384033035,3.9450084602368864
20,5.336186078040927,4.8331039229181005,3.730118443316412
21,5.361606575435327,4.824501032346868,3.7005076142131976
22,5.38490869804686,4.832243633860978,3.70896785109983
23,5.36584332500106,4.9466620784583615,3.6632825719120135
24,5.36584332500106,4.971610461114935,3.694585448392554
25,5.36584332500106,4.977632484514798,3.633671742808798
26,5.463288565012923,5.098933241569167,3.7098138747884937
27,5.423039444138458,5.094631796283551,3.615059221658206
28,5.425157818921325,5.038713007570543,3.6565143824027064
29,5.380671948481127,4.987955953200274,3.5126903553299496
30,5.380671948481127,4.969029593943565,3.50507614213198
31,5.295936957166462,4.984514796971784,3.5101522842639596
32,5.295936957166462,4.941500344115623,3.4796954314720816
33,5.331949328475196,4.985375086028906,3.427241962774957
34,5.533194932847521,4.982794218857537,3.3790186125211497
35,5.5797991780705845,5.137646249139712,3.3798646362098133
36,5.615811549379317,5.195285615966965,3.391708967851099
37,5.533194932847521,5.250344115622848,3.3274111675126896
38,5.524721433716054,5.179800412938748,3.312182741116751
39,5.552260305893319,5.141947694425326,3.382402707275803
40,5.503537685887387,5.172057811424638,3.436548223350253
41,5.512011185018856,5.118719889883,3.361252115059221
42,5.4717620641443885,5.094631796283551,3.3553299492385786
43,5.43363131805279,5.084308327598073,3.3231810490693734
44,5.43363131805279,5.028389538885065,3.329103214890017
45,5.43363131805279,5.14538885065382,3.3561759729272413
46,5.43363131805279,5.080006882312457,3.281725888324873
47,5.43363131805279,5.006882312456986,3.2741116751269033
48,5.43363131805279,5.052477632484514,3.2030456852791866
49,5.43363131805279,4.944941500344115,3.2504230118443314
50,5.43363131805279,4.9544046799724715,3.2241962774957686
51,5.43363131805279,4.966448726772194,3.213197969543147
52,5.43363131805279,4.958706125258088,3.197123519458545
53,5.43363131805279,5.017205781142463,3.146362098138747
54,5.43363131805279,5.19098417068135,3.227580372250423
55,5.43363131805279,5.251204404679973,3.258037225042301
56,5.43363131805279,5.281314521679285,3.1582064297800327
57,5.810702029403042,5.293358568479007,3.120135363790186
58,5.543786806761854,5.294218857536132,3.3197969543147208
59,5.543786806761854,5.246902959394356,3.3155668358714037
60,5.522603058933188,5.395732966276668,3.3164128595600673
61,5.522603058933188,5.397453544390915,3.263113367174281
62,5.677244418082448,5.226256022023399,3.246192893401015
63,5.677244418082448,5.166035788024775,3.104060913705583
64,5.677244418082448,5.134205092911218,3.0228426395939083
65,5.677244418082448,5.147109428768065,2.922165820642978
66,5.677244418082448,5.116999311768753,2.845177664974619
67,5.45269669109859,5.214211975223677,2.9500846023688663
68,5.444223191967123,5.234858912594632,2.8773265651438233
69,5.607338050247852,5.2322780454232625,2.857021996615905
70,5.427276193704192,5.153991741225052,2.829103214890017
71,5.355251451086725,5.08602890571232,2.71150592216582
72,5.338304452823794,5.08602890571232,2.8561759729272413
73,5.393382197178327,4.893324156916723,2.809644670050761
74,5.367961699783925,4.908809359944943,2.8138747884940774
75,5.304410456297929,4.932897453544392,2.8443316412859554
76,5.412447570224125,4.903647625602202,2.94585448392555
77,5.401855696309792,4.99225739848589,2.817258883248731
78,5.461170190230056,5.0086028905712325,2.829103214890017
79,5.535313307630386,4.973331039229182,2.7715736040609134
80,5.535313307630386,4.993977976600137,2.631979695431472
81,5.535313307630386,4.960426703372335,2.7580372250423
82,5.535313307630386,4.953544390915347,2.859560067681895
83,5.535313307630386,5.01892635925671,2.8392554991539756
84,5.535313307630386,4.945801789401239,2.6091370558375626
85,5.507774435453121,4.98107364074329,2.4915397631133667
86,5.560733805024786,4.945801789401239,2.4686971235194584
87,5.560733805024786,5.031830695113559,2.3747884940778343
88,5.342541202389529,4.948382656572608,2.286802030456852
89,5.38490869804686,4.92171369580179,2.0575296108291035
90,5.44634156674999,4.864074328974535,2.05414551607445
91,5.5162479345845865,4.870096352374398,2.2495769881556678
92,5.338304452823794,4.793530626290433,1.911167512690355
93,5.2747532093377965,4.677391603578803,2.194585448392555
94,5.2239122145489985,4.724707501720578,2.239424703891709
95,5.230267338897598,4.684273916035787,2.483925549915398
96,5.281108333686396,4.625774260151411,2.4010152284263953
97,5.194254967588868,4.599105299380593,2.6844331641285955
98,5.194254967588868,4.531142463867859,2.7411167512690353
99,5.190018218023133,4.57157604955265,2.840101522842639
100,5.2048468415032,4.591362697866483,2.730118443316412
101,5.266279710206331,4.57415691672402,2.734348561759729
102,5.2620429606405965,4.587061252580867,2.7148900169204735
103,5.13070372410287,4.629215416379905,2.8587140439932313
104,5.111638351057068,4.524260151410875,2.7225042301184432
105,5.0713892301826045,4.525120440467997,2.849407783417935
